Energy (eV),IsoM5,IsoM16,IsoS5,IsoS16
1.65976162,98.41202545,98.85700226,97.49784851,97.50663757
1.661986501,98.41841125,98.87895966,97.52658844,97.53163147
1.664217356,98.41394043,98.8688736,97.52839661,97.53253174
1.666454207,98.45819855,98.87733459,97.53178406,97.56422424
1.66869708,98.34870911,98.86251068,97.49023438,97.52124786
1.670945997,98.40656281,98.86538696,97.52643585,97.53513336
1.673200985,98.33664703,98.77642059,97.46656036,97.49364471
1.675462068,98.37441254,98.79141235,97.52377319,97.55388641
1.677729269,98.33854675,98.80891418,97.49005127,97.55971527
1.680002615,98.26541901,98.76324463,97.50323486,97.51568604
1.68228213,98.26296997,98.74323273,97.48197937,97.5268631
1.68456784,98.27955627,98.76509857,97.48629761,97.53646851
1.686859769,98.31550598,98.81399536,97.54432678,97.55679321
1.689157943,98.28263855,98.79029846,97.53770447,97.55394745
1.691462388,98.25201416,98.75222015,97.5063858,97.52503967
1.693773129,98.23648834,98.7519455,97.5050354,97.525383
1.696090192,98.25002289,98.7305069,97.50380707,97.54964447
1.698413603,98.26642609,98.73725891,97.53910065,97.55258179
1.700743388,98.22543335,98.7053299,97.48551941,97.51528168
1.703079574,98.19454956,98.72019958,97.52089691,97.529953
1.705422187,98.17993927,98.67053986,97.50776672,97.52337646
1.707771254,98.21009064,98.71296692,97.5569458,97.5500946
1.7101268,98.2121048,98.71298981,97.54827881,97.5306015
1.712488854,98.16963196,98.69835663,97.49372864,97.55561066
1.714857441,98.1616745,98.67744446,97.49911499,97.53057098
1.71723259,98.18145752,98.66160583,97.5223465,97.5389328
1.719614327,98.13491058,98.65699768,97.49359894,97.5142746
1.722002681,98.13104248,98.65039063,97.50712585,97.52967834
1.724397677,98.09277344,98.64688873,97.50413513,97.529953
1.726799346,98.12784576,98.64411926,97.52108765,97.50993347
1.729207713,98.11949921,98.65107727,97.51367188,97.53263855
1.731622807,98.12191772,98.66308594,97.51944733,97.53899384
1.734044657,98.07588959,98.64006805,97.51457214,97.51855469
1.736473291,98.10650635,98.62650299,97.50845337,97.51553345
1.738908738,98.10936737,98.62728882,97.51422119,97.51514435
1.741351025,98.0894928,98.61782074,97.52008057,97.51500702
1.743800183,98.08912659,98.62391663,97.53262329,97.53491974
1.74625624,98.08895111,98.63553619,97.5125351,97.50808716
1.748719224,98.05111694,98.59622192,97.49754333,97.5065155
1.751189167,98.14974213,98.62914276,97.58398438,97.59118652
1.753666096,98.05835724,98.61592102,97.49571228,97.51068878
1.756150043,98.04145813,98.60598755,97.50675964,97.50141144
1.758641036,98.05168152,98.616745,97.51410675,97.51789856
1.761139105,98.04624939,98.62605286,97.50460052,97.49974823
1.763644282,98.034935,98.60933685,97.49822235,97.50026703
1.766156596,98.05844116,98.61933899,97.49159241,97.51571655
1.768676077,98.04370117,98.59507751,97.50411987,97.51222992
1.771202757,98.0798645,98.64154816,97.5317688,97.53684998
1.773736667,98.07131195,98.62130737,97.54389191,97.54341125
1.776277837,98.05091858,98.63053894,97.54647827,97.53845978
1.778826299,98.06067657,98.62940979,97.5265274,97.54694366
1.781382083,98.05223846,98.66279602,97.53911591,97.54669952
1.783945223,98.04652405,98.63895416,97.51947784,97.53716278
1.786515749,98.04177856,98.62844086,97.51898193,97.5317688
1.789093694,98.04022217,98.63175964,97.53439331,97.55392456
1.79167909,98.05530548,98.63096619,97.53171539,97.55207062
1.794271968,98.05860901,98.65696716,97.53574371,97.57476807
1.796872362,98.07672119,98.65796661,97.53612518,97.55795288
1.799480305,98.05800629,98.63321686,97.51319122,97.56116486
1.802095829,98.06580353,98.65543365,97.53440094,97.55189514
1.804718967,98.09361267,98.65325928,97.53119659,97.5810318
1.807349752,98.10971069,98.64490509,97.5532608,97.58411407
1.809988219,98.08807373,98.65853119,97.53796387,97.56302643
1.812634401,98.10718536,98.6595993,97.56039429,97.5667572
1.815288331,98.09545135,98.66719055,97.5475769,97.55732727
1.817950044,98.0921936,98.65833282,97.56234741,97.58309174
1.820619574,98.11362457,98.6844101,97.54825592,97.57632446
1.823296956,98.1031189,98.68217468,97.52779388,97.587883
1.825982224,98.09213257,98.65888977,97.55770874,97.54194641
1.828675413,98.14625549,98.68915558,97.57746124,97.59642029
1.831376558,98.20014191,98.75802612,97.60176849,97.63977814
1.834085695,98.13419342,98.67536926,97.55137634,97.57454681
1.836802859,98.13071442,98.68502808,97.53800964,97.55866241
1.839528086,98.18100739,98.74198151,97.5677948,97.59937286
1.842261412,98.15952301,98.69739532,97.54727173,97.56141663
1.845002872,98.2498703,98.7155304,97.6228714,97.66150665
1.847752504,98.18781281,98.71648407,97.56420898,97.5738678
