Energy (eV),NI old
1.490194628,0.520797312
1.491987882,0.522881866
1.493785458,0.524685502
1.49558737,0.526949883
1.497393635,0.52886194
1.499204269,0.530652106
1.501019286,0.532646775
1.502838703,0.534376919
1.504662537,0.53614974
1.506490802,0.537811935
1.508323516,0.539511323
1.510160694,0.541004598
1.512002354,0.542440057
1.51384851,0.543893814
1.515699181,0.545426786
1.517554382,0.546572626
1.51941413,0.547905505
1.521278442,0.5491063
1.523147334,0.550197601
1.525020824,0.551515281
1.526898929,0.552401424
1.528781665,0.553408802
1.530669049,0.554339409
1.5325611,0.555031121
1.534457834,0.555995405
1.536359269,0.556720674
1.538265422,0.557454646
1.540176311,0.558305562
1.542091953,0.558971882
1.544012366,0.559845448
1.545937569,0.560705125
1.547867578,0.561092317
1.549802413,0.561119199
1.55174209,0.569058657
1.553686629,0.569102764
1.555636048,0.569441021
1.557590364,0.569687128
1.559549598,0.570836246
1.561513766,0.570158124
1.563482888,0.570528984
1.565456982,0.571305752
1.567436068,0.572213173
1.569420165,0.571632147
1.57140929,0.573080361
1.573403465,0.573394418
1.575402707,0.574787974
1.577407036,0.574854791
1.579416471,0.576096714
1.581431033,0.576733172
1.583450741,0.578240812
1.585475614,0.579527795
1.587505672,0.580315113
1.589540936,0.583131909
1.591581425,0.583822608
1.59362716,0.58526957
1.59567816,0.587756515
1.597734446,0.588936031
1.599796039,0.590837002
1.601862959,0.592998445
1.603935227,0.594909191
1.606012863,0.596873283
1.608095889,0.599043787
1.610184325,0.601024211
1.612278193,0.603233457
1.614377513,0.606224954
1.616482308,0.607995033
1.618592598,0.610403776
1.620708405,0.612980366
1.622829751,0.615696073
1.624956658,0.617764175
1.627089147,0.620424211
1.629227241,0.622753084
1.631370961,0.625466704
1.63352033,0.627969265
1.63567537,0.630083263
1.637836103,0.632247984
1.640002553,0.635228574
1.642174742,0.637814701
1.644352692,0.640338421
1.646536428,0.642690241
1.648725971,0.644758344
1.650921345,0.647096336
1.653122573,0.649135649
1.65532968,0.65214324
1.657542687,0.653778195
1.65976162,0.655276299
1.661986501,0.657363176
1.664217356,0.658855498
1.666454207,0.659781575
1.66869708,0.661941111
1.670945997,0.663347542
1.673200985,0.664090991
1.675462068,0.665280879
1.677729269,0.665062368
1.680002615,0.666343153
1.68228213,0.666277707
1.68456784,0.6656425
1.686859769,0.666025698
1.689157943,0.665286958
1.691462388,0.665008903
1.693773129,0.664106727
1.696090192,0.66288811
1.698413603,0.662548006
1.700743388,0.660586059
1.703079574,0.66001296
1.705422187,0.65854913
1.707771254,0.656873643
1.7101268,0.655234814
1.712488854,0.654102564
1.714857441,0.652476251
1.71723259,0.651291072
1.719614327,0.649147213
1.722002681,0.648121476
1.724397677,0.646676779
1.726799346,0.644949377
1.729207713,0.644006908
1.731622807,0.64250809
1.734044657,0.641717672
1.736473291,0.640344918
1.738908738,0.639686227
1.741351025,0.638883829
1.743800183,0.638455451
1.74625624,0.638246536
1.748719224,0.638635159
1.751189167,0.638356865
1.753666096,0.638459981
1.756150043,0.638763964
1.758641036,0.639435411
1.761139105,0.640034914
1.763644282,0.641013205
1.766156596,0.641650558
1.768676077,0.642645836
1.771202757,0.6439237
1.773736667,0.644656956
1.776277837,0.646160901
1.778826299,0.647155523
1.781382083,0.648724675
1.783945223,0.65007019
1.786515749,0.651251376
1.789093694,0.652625561
1.79167909,0.653847098
1.794271968,0.655390382
1.796872362,0.656692803
1.799480305,0.658170581
1.802095829,0.659042597
1.804718967,0.660605252
1.807349752,0.661667407
1.809988219,0.663104117
1.812634401,0.664287508
1.815288331,0.665415704
1.817950044,0.666489959
1.820619574,0.667993128
1.823296956,0.669322193
1.825982224,0.670591593
1.828675413,0.671708226
1.831376558,0.673303008
1.834085695,0.674195409
1.836802859,0.675591171
1.839528086,0.677062869
1.842261412,0.677861989
1.845002872,0.678840697
1.847752504,0.680114925
1.850510343,0.680973709
1.853276428,0.682053447
1.856050794,0.683039665
1.858833478,0.683718205
1.86162452,0.684585869
1.864423955,0.685858905
1.867231822,0.686152101
1.87004816,0.686582267
1.872873006,0.687045038
1.8757064,0.687264025
1.878548379,0.687418819
1.881398983,0.687410414
1.884258252,0.687243998
1.887126225,0.6868155
1.890002942,0.686439872
1.892888443,0.685753644
1.895782768,0.684777379
1.898685957,0.683786869
1.901598052,0.682458758
1.904519094,0.681237102
1.907449123,0.680338681
1.910388182,0.678414524
1.913336312,0.677101731
1.916293555,0.675184846
1.919259954,0.673423588
1.922235551,0.671599507
1.925220388,0.669746161
1.92821451,0.667656362
1.93121796,0.665601254
1.93423078,0.664039254
1.937253016,0.662372947
1.940284711,0.660923481
1.943325909,0.65921104
1.946376656,0.657988846
1.949436997,0.65677309
1.952506977,0.655754149
1.955586641,0.655140281
1.958676035,0.654371917
1.961775206,0.653909326
1.9648842,0.653434515
1.968003064,0.653382659
1.971131844,0.653290868
