Energy (eV),Suspended
1.686859769,0.224139765
1.689157943,0.223590508
1.691462388,0.223471656
1.693773129,0.222914726
1.696090192,0.22295858
1.698413603,0.222087041
1.700743388,0.221944436
1.703079574,0.221814215
1.705422187,0.22124967
1.707771254,0.220839486
1.7101268,0.220390007
1.712488854,0.22002162
1.714857441,0.219807118
1.71723259,0.219081596
1.719614327,0.21889554
1.722002681,0.218813017
1.724397677,0.218900472
1.726799346,0.218586311
1.729207713,0.218089581
1.731622807,0.217968762
1.734044657,0.217702717
1.736473291,0.217186973
1.738908738,0.217041701
1.741351025,0.216998532
1.743800183,0.216660976
1.74625624,0.216405854
1.748719224,0.21625106
1.751189167,0.215962723
1.753666096,0.215902671
1.756150043,0.215724617
1.758641036,0.215651274
1.761139105,0.215239301
1.763644282,0.215074033
1.766156596,0.2145897
1.768676077,0.214743018
1.771202757,0.214484572
1.773736667,0.214087054
1.776277837,0.214011744
1.778826299,0.213848561
1.781382083,0.213498429
1.783945223,0.213596076
1.786515749,0.21292302
1.789093694,0.2128966
1.79167909,0.212472662
1.794271968,0.212144211
1.796872362,0.211899325
1.799480305,0.21184966
1.802095829,0.211149886
1.804718967,0.210997745
1.807349752,0.210634798
1.809988219,0.21057497
1.812634401,0.210159034
1.815288331,0.209855706
1.817950044,0.209555283
1.820619574,0.209288582
1.823296956,0.208711237
1.825982224,0.208765745
1.828675413,0.208284378
1.831376558,0.208184317
1.834085695,0.207941607
1.836802859,0.207905516
1.839528086,0.207659245
1.842261412,0.207441002
1.845002872,0.207311511
1.847752504,0.207052484
1.850510343,0.207046405
1.853276428,0.206858173
1.856050794,0.20677349
1.858833478,0.206520453
1.86162452,0.206759155
1.864423955,0.206496388
1.867231822,0.206209421
1.87004816,0.206012949
1.872873006,0.206296623
1.8757064,0.206245333
1.878548379,0.206306234
1.881398983,0.20610036
1.884258252,0.206034124
1.887126225,0.205962822
1.890002942,0.206144586
1.892888443,0.206038863
1.895782768,0.206048399
1.898685957,0.206036329
1.901598052,0.205832735
1.904519094,0.205974892
1.907449123,0.205990285
1.910388182,0.205786914
1.913336312,0.206158981
1.916293555,0.206026226
1.919259954,0.205953717
1.922235551,0.206049681
1.925220388,0.205982924
1.92821451,0.205931097
1.93121796,0.20601362
1.93423078,0.205885217
1.937253016,0.205864683
1.940284711,0.206279337
1.943325909,0.206156492
1.946376656,0.206083998
1.949436997,0.206083834
1.952506977,0.206304237
1.955586641,0.206363559
1.958676035,0.206271514
1.961775206,0.206385419
1.9648842,0.206585437
1.968003064,0.206536487
1.971131844,0.206751451
1.974270589,0.20708406
1.977419346,0.207101405
1.980578163,0.207284272
1.983747088,0.207357496
1.98692617,0.207805798
1.990115458,0.207937971
1.993315,0.208408088
1.996524847,0.208364829
1.999745049,0.208799228
2.002975654,0.209077895
2.006216715,0.209482148
2.009468282,0.209908679
2.012730406,0.2102727
2.016003138,0.210575804
2.019286531,0.210967869
2.022580636,0.211589977
2.025885507,0.212361038
2.029201195,0.21299167
2.032527754,0.213576466
2.035865238,0.214323372
2.039213701,0.215141282
2.042573196,0.21589987
2.045943779,0.216461286
2.049325504,0.217404708
2.052718427,0.218419224
2.056122604,0.218952537
2.05953809,0.220201284
2.062964942,0.220775753
2.066403217,0.221814051
2.069852972,0.222729877
2.073314264,0.223873377
2.076787153,0.224614635
2.080271695,0.225695893
2.08376795,0.226944998
2.087275977,0.227725998
2.090795835,0.229176477
2.094327585,0.23005347
2.097871286,0.231016293
2.101427,0.231971979
2.104994788,0.233432889
2.108574711,0.234955818
2.112166832,0.236027241
2.115771212,0.237024501
2.119387915,0.238197699
2.123017004,0.239706487
2.126658542,0.241185039
2.130312595,0.242567524
2.133979226,0.244158939
2.1376585,0.245610505
2.141350484,0.247298941
2.145055242,0.248911947
2.148772842,0.250739664
2.152503351,0.252527207
2.156246835,0.254383892
2.160003363,0.256412238
2.163773002,0.258787155
2.167555822,0.261388749
2.171351892,0.264053434
2.175161281,0.266543478
2.17898406,0.269367009
2.182820299,0.272870213
2.186670071,0.276351839
2.190533445,0.279518664
2.194410496,0.283638239
2.198301294,0.28775233
2.202205915,0.292028487
2.206124431,0.296045482
2.210056916,0.300543934
2.214003447,0.305115163
2.217964097,0.30972904
2.221938943,0.314593256
2.225928061,0.318757713
2.229931529,0.322649539
2.233949424,0.327292144
2.237981823,0.331334472
2.242028807,0.334609538
2.246090453,0.337785065
2.250166842,0.340522081
2.254258055,0.342386276
2.258364171,0.343716741
2.262485274,0.344472259
2.266621444,0.344645351
2.270772766,0.344261766
2.274939321,0.343584806
2.279121195,0.34201318
2.283318472,0.340429246
2.287531236,0.33884871
2.291759575,0.337183684
2.296003574,0.335542798
2.300263321,0.334361821
2.304538904,0.333430946
2.30883041,0.333014697
2.313137929,0.332910091
2.317461552,0.333434284
2.321801367,0.333939433
2.326157467,0.335401982
2.330529944,0.337482244
2.334918889,0.33957538
2.339324396,0.342350155
2.34374656,0.345683575
2.348185474,0.349213153
2.352641234,0.353225678
2.357113936,0.357295871
2.361603676,0.361678958
2.366110554,0.366126329
2.370634666,0.370892346
2.375176111,0.375321031
2.379734991,0.380043507
2.384311404,0.384271234
2.388905453,0.388215154
2.39351724,0.391860306
2.398146867,0.394694358
2.402794438,0.397223502
2.407460058,0.398752481
2.412143833,0.400060892
2.416845868,0.400243998
2.42156627,0.40035978
2.426305147,0.399951696
2.431062608,0.399198145
2.435838762,0.398863465
2.440633721,0.398113847
2.445447594,0.397833109
2.450280494,0.397357792
2.455132535,0.397526473
2.46000383,0.39759633
2.464894493,0.397740752
2.469804642,0.398614734
2.474734391,0.399685979
2.47968386,0.400838554
2.484653167,0.402922869
2.48964243,0.405440897
2.494651771,0.408085555
2.499681311,0.411455512
2.504731172,0.415034026
2.509801478,0.418911278
2.514892353,0.422931761
2.520003923,0.427010864
2.525136314,0.431013972
2.530289653,0.434334189
2.53546407,0.436952263
2.540659693,0.43896693
2.545876653,0.43976754
2.551115082,0.440366298
2.556375114,0.440246433
2.56165688,0.439442933
2.566960518,0.43845889
2.572286162,0.437179983
2.57763395,0.435642272
2.583004021,0.434230834
2.588396514,0.432896912
2.593811569,0.431632847
2.599249329,0.430556119
2.604709937,0.430081636
2.610193537,0.430481404
2.615700274,0.431257725
2.621230296,0.433265328
2.62678375,0.436336398
2.632360786,0.440181673
2.637961553,0.445252895
2.643586205,0.450546086
2.649234893,0.457238585
2.654907773,0.463878661
2.660605,0.470868349
2.666326731,0.477470547
2.672073125,0.483302176
2.677844341,0.487267524
2.683640541,0.489857256
2.689461887,0.4900105
2.695308544,0.48805508
2.701180676,0.484233558
2.70707845,0.478440166
2.713002035,0.47118786
2.718951601,0.463634938
2.724927319,0.455949485
2.730929361,0.448917002
2.736957903,0.442421883
2.74301312,0.436500162
2.749095189,0.431597203
2.755204289,0.427916765
2.761340602,0.424757481
2.767504308,0.423000008
2.773695593,0.421976715
2.779914641,0.421501517
2.786161641,0.422310144
2.792436779,0.423611611
2.798740249,0.425499797
2.80507224,0.428068638
2.811432948,0.430685699
2.817822568,0.433437884
2.824241299,0.436330438
2.830689338,0.439109922
2.837166888,0.440903127
2.843674152,0.442386299
2.850211334,0.442983538
2.856778641,0.443214834
2.863376282,0.442376673
2.870004468,0.441156268
2.876663411,0.438862562
2.883353326,0.436272889
2.890074429,0.433833659
2.896826939,0.431115389
2.903611077,0.429010183
2.910427066,0.427307159
2.91727513,0.426179558
2.924155496,0.425904572
2.931068393,0.425886005
2.938014052,0.425963134
2.944992708,0.427164882
2.952004595,0.427933335
2.959049952,0.42887792
2.966129019,0.429588497
2.973242039,0.430553585
2.980389255,0.43110776
2.987570916,0.432032317
2.994787271,0.432135016
3.002038572,0.432518065
3.009325073,0.43320629
3.016647032,0.433642
3.024004708,0.433038145
3.031398362,0.432615042
3.03882826,0.431538254
3.046294669,0.430468082
3.053797857,0.429408491
3.061338099,0.428247184
3.068915669,0.427555531
3.076530844,0.427006304
3.084183906,0.427164018
3.091875137,0.427506268
3.099604825,0.428048372
